Genome;ClinFreq;ActA;Agr;Ami;Auto;Bsh;ChitinaseA;ChitinaseB;ClpB;ClpC;ClpE;ClpP;CodY;CtaP;CtsR;Dal;DegU;DltA;FAM000450;FAM000548;FAM000549;FAM001910;FAM002113;FAM002114;FAM002292;FAM002293;FAM002725;FAM002728;FAM002729;FAM002769;FAM002770;FAM002772;FAM002828;FAM002925;FAM003164;FAM003292;FAM003293;FAM003294;FAM003296;FAM003297;FAM003298;FAM003299;FAM003315;FAM003316;FAM003317;FAM003318;FAM004136;FAM004137;FAM004138;FAM004139;FAM004150;FAM004151;FAM004152;FAM004153;FAM004154;FbpA;FlaA;FlgC;FlgE;Fri;Fur;GadA;GadB;GadC;GmaR;GtcA;Hfq;Hly;Hpt-uhpt;HtrA;IIsA;IIsB;IIsD;IIsG;IIsH;IIsP;IIsX;IIsY;Iap_P60;InlA;InlB;InlC;InlF;InlH;InlJ;Inlk;Lap;LapB;Lgt;LipA;LisK;LisR;Lmo1421BilE;LntA;LpeA;LplA1;Lsp;MogR;Mpl;Mprf;MurA-NC_003210.1:c2605155-2603863;NamA-NC_003210.1:c2546503-2545487;OatA;OppA;OrfX;OrfZ;PerR;PgdA;Pgl;PlcA;PlcB;PrfA;PrsA2;PycA;RecA;RelA;RsbY;SecA;SigB;SipX;SipZ;Sod;SortaseA;SortaseB;Stp;SvpA;TcsA;Tig;Vip;VirR;VirRbis;btlB;hupC;lmo0514;lmo0610;lmo2026;lmo2085;rpsU
List_001;46,67;95,09;95,47;99,18;47,88;97,85;99,39;98,78;100,00;100,00;99,72;100,00;100,00;100,00;100,00;98,65;100,00;99,80;100,00;100,00;99,06;100,00;100,00;100,00;99,63;100,00;94,69;96,88;97,33;NaN;NaN;NaN;48,47;44,93;76,47;NaN;NaN;56,25;98,08;91,11;100,00;99,32;39,29;30,19;49,30;40,51;35,48;NaN;NaN;26,53;NaN;39,68;31,65;43,55;NaN;99,48;100,00;100,00;100,00;100,00;100,00;70,50;99,36;99,57;98,75;100,00;100,00;100,00;100,00;99,74;NaN;NaN;NaN;29,21;NaN;NaN;NaN;NaN;100,00;97,09;97,78;98,65;59,69;92,95;87,04;97,82;99,83;97,47;99,64;99,33;100,00;99,56;99,70;91,75;98,71;100,00;40,15;98,69;99,61;100,00;100,00;95,27;99,76;99,81;97,20;100,00;100,00;100,00;99,71;99,37;99,66;100,00;99,63;100,00;99,43;99,72;100,00;100,00;100,00;100,00;97,79;100,00;99,55;95,95;98,69;100,00;98,32;100,00;83,57;100,00;99,22;100,00;99,62;97,47;99,80;69,05;99,29;100,00
List_002;13,04;94,98;100,00;98,53;47,88;98,16;99,70;99,24;99,89;100,00;100,00;100,00;100,00;99,43;100,00;95,66;100,00;99,80;90,20;100,00;99,06;100,00;100,00;99,72;99,50;100,00;NaN;NaN;NaN;NaN;NaN;NaN;42,33;43,75;76,47;NaN;NaN;56,25;99,04;91,11;100,00;99,32;39,29;30,19;49,30;40,51;33,87;NaN;NaN;39,77;NaN;39,68;NaN;NaN;NaN;99,65;100,00;100,00;100,00;100,00;100,00;70,72;99,36;100,00;98,43;100,00;100,00;99,81;100,00;100,00;NaN;NaN;NaN;31,46;NaN;NaN;NaN;NaN;98,80;94,17;97,78;100,00;61,22;93,36;87,16;98,81;99,83;97,93;99,64;99,67;100,00;99,56;99,09;91,75;99,36;100,00;40,15;98,69;99,61;100,00;100,00;98,52;99,76;100,00;97,20;100,00;100,00;100,00;99,71;99,37;99,31;100,00;99,63;100,00;99,43;100,00;100,00;99,88;100,00;100,00;97,79;99,51;99,55;96,36;98,69;100,00;98,60;100,00;83,57;100,00;91,89;100,00;98,86;95,53;99,61;69,52;99,29;100,00
List_003;13,04;94,98;100,00;98,53;47,88;98,16;99,70;99,24;99,89;100,00;100,00;99,50;100,00;99,43;100,00;95,66;100,00;99,80;90,20;100,00;99,06;100,00;100,00;99,72;99,50;100,00;NaN;NaN;NaN;NaN;NaN;NaN;49,08;43,75;76,47;NaN;NaN;56,25;99,04;91,11;100,00;99,32;36,77;30,19;49,30;40,51;33,87;NaN;NaN;39,77;NaN;39,68;NaN;NaN;NaN;99,65;100,00;100,00;100,00;100,00;100,00;70,72;99,36;100,00;98,43;100,00;100,00;99,81;100,00;100,00;NaN;NaN;NaN;39,66;NaN;NaN;NaN;NaN;98,80;94,17;97,78;100,00;61,22;93,36;87,16;98,81;99,83;97,93;99,64;99,67;100,00;99,56;99,09;91,75;99,36;100,00;40,15;99,02;99,61;100,00;100,00;98,52;99,76;100,00;97,20;100,00;100,00;100,00;99,71;99,37;99,31;100,00;99,63;100,00;99,43;100,00;100,00;99,88;100,00;100,00;97,79;99,51;99,55;96,36;99,02;100,00;98,60;100,00;83,57;100,00;91,89;100,00;98,86;95,53;99,61;69,52;99,29;100,00
List_004;46,67;95,09;95,47;98,77;47,88;97,85;99,39;98,78;100,00;100,00;99,72;100,00;100,00;100,00;100,00;98,65;100,00;99,80;100,00;100,00;99,06;100,00;100,00;100,00;99,63;100,00;94,69;96,88;97,33;NaN;NaN;NaN;48,47;44,93;76,47;NaN;NaN;56,25;98,08;91,11;100,00;99,32;39,29;30,19;49,30;40,51;35,48;NaN;NaN;26,53;NaN;39,68;31,65;43,55;NaN;99,48;100,00;100,00;100,00;100,00;100,00;70,50;99,36;99,57;98,75;100,00;100,00;100,00;100,00;99,74;NaN;NaN;NaN;29,21;NaN;NaN;NaN;NaN;100,00;97,24;97,78;98,99;59,69;92,95;87,04;97,82;99,83;97,47;99,28;99,33;100,00;99,56;99,70;91,75;98,71;100,00;40,15;98,69;99,61;100,00;100,00;95,27;99,76;99,81;97,20;100,00;100,00;100,00;99,71;99,37;99,66;100,00;99,63;100,00;99,43;99,72;100,00;100,00;100,00;100,00;97,79;100,00;99,55;95,95;98,69;100,00;98,60;100,00;83,57;100,00;99,22;100,00;99,62;97,47;99,80;69,05;99,11;100,00
List_005;96,88;92,48;96,71;92,99;90,86;99,08;99,08;99,55;97,92;99,75;97,99;100,00;100,00;100,00;99,35;96,75;100,00;97,46;88,24;92,31;98,11;86,67;100,00;100,00;99,38;87,32;100,00;99,55;99,33;100,00;100,00;100,00;100,00;100,00;97,96;NaN;NaN;NaN;NaN;NaN;NaN;NaN;39,29;30,69;49,30;40,51;33,33;NaN;NaN;26,53;NaN;39,68;NaN;NaN;NaN;97,90;99,65;100,00;99,76;100,00;98,68;70,50;97,86;98,71;99,69;82,19;100,00;99,43;97,40;100,00;100,00;97,95;100,00;100,00;100,00;99,44;100,00;100,00;93,85;91,10;81,43;96,63;99,04;94,19;99,76;91,68;100,00;95,27;90,25;97,66;100,00;94,71;99,09;93,69;98,07;97,40;40,15;99,35;95,70;99,42;99,45;91,42;99,52;99,81;92,52;98,70;99,33;97,73;98,27;97,80;95,52;100,00;98,89;99,65;100,00;99,45;100,00;100,00;99,62;98,94;97,24;98,52;100,00;99,19;99,35;97,28;99,72;100,00;98,93;100,00;90,63;95,59;98,49;97,66;85,38;69,52;93,96;100,00
List_006;63,89;98,57;100,00;98,89;47,88;97,85;99,70;99,70;99,77;100,00;99,59;99,50;100,00;99,81;100,00;99,46;100,00;100,00;NaN;100,00;99,06;100,00;100,00;99,72;99,50;99,30;95,17;96,88;96,67;NaN;NaN;NaN;42,33;44,93;40,24;NaN;NaN;62,50;91,43;84,32;99,11;97,28;39,29;30,19;45,57;40,51;35,48;NaN;NaN;42,75;NaN;39,68;NaN;NaN;NaN;99,48;100,00;100,00;99,76;100,00;100,00;100,00;99,15;99,57;98,59;100,00;100,00;100,00;96,93;100,00;NaN;NaN;NaN;37,93;NaN;43,33;NaN;NaN;100,00;95,40;97,92;100,00;79,55;97,72;96,59;99,21;99,83;95,51;99,64;99,67;100,00;100,00;100,00;91,75;100,00;96,93;40,15;99,02;99,80;100,00;100,00;96,75;99,76;100,00;97,20;99,35;100,00;100,00;99,42;98,74;99,66;100,00;99,63;100,00;99,43;99,72;100,00;100,00;100,00;100,00;97,79;99,51;99,55;96,36;99,02;100,00;98,60;100,00;NaN;100,00;21,69;99,51;98,86;96,69;100,00;51,30;99,11;100,00
List_007;44,44;95,09;99,59;98,65;47,88;97,85;99,39;98,78;100,00;100,00;99,72;100,00;100,00;100,00;100,00;98,65;100,00;99,80;100,00;100,00;99,06;100,00;100,00;100,00;99,63;100,00;94,69;95,54;97,33;NaN;NaN;NaN;49,08;44,93;75,83;NaN;NaN;NaN;98,08;91,11;100,00;100,00;39,29;30,19;49,30;40,51;35,48;NaN;NaN;26,53;NaN;39,68;31,65;43,55;NaN;99,48;100,00;100,00;99,76;100,00;100,00;70,28;99,36;99,36;98,75;100,00;100,00;100,00;100,00;99,74;NaN;NaN;NaN;39,66;NaN;NaN;NaN;NaN;100,00;94,02;97,94;98,99;61,22;93,36;90,46;97,82;99,83;97,47;99,64;99,33;100,00;100,00;99,70;91,75;98,71;100,00;40,15;98,69;99,61;100,00;100,00;95,27;99,76;99,81;97,20;100,00;100,00;100,00;99,71;99,37;99,66;100,00;99,63;100,00;99,43;99,86;100,00;100,00;100,00;100,00;97,79;100,00;99,55;95,95;98,69;100,00;98,60;100,00;83,57;100,00;99,22;100,00;99,62;97,47;99,61;69,05;99,29;100,00
List_008;44,44;95,09;99,59;98,65;47,88;97,85;99,39;98,78;100,00;100,00;99,72;100,00;100,00;100,00;100,00;98,65;100,00;99,80;100,00;100,00;99,06;100,00;100,00;100,00;99,63;100,00;94,69;95,54;97,33;NaN;NaN;NaN;49,08;44,93;75,83;NaN;NaN;NaN;98,08;91,11;100,00;100,00;39,29;30,19;49,30;40,51;35,48;NaN;NaN;26,53;NaN;39,68;31,65;43,55;NaN;99,48;100,00;100,00;99,76;100,00;100,00;70,28;99,36;99,36;98,75;100,00;100,00;100,00;100,00;99,74;NaN;NaN;NaN;29,21;NaN;NaN;NaN;NaN;100,00;94,02;97,94;98,99;61,22;93,36;90,46;97,82;99,83;97,47;99,64;99,33;100,00;100,00;99,70;91,75;98,71;100,00;40,15;98,69;99,61;100,00;100,00;95,27;99,76;99,81;97,20;100,00;100,00;100,00;99,71;99,37;99,66;100,00;99,63;100,00;99,43;99,86;100,00;100,00;100,00;100,00;97,79;100,00;99,55;95,95;98,69;100,00;98,60;100,00;83,57;100,00;99,22;100,00;99,62;97,47;99,61;69,05;99,29;100,00
List_009;44,44;95,09;99,59;98,65;47,88;97,85;99,39;98,78;100,00;100,00;99,72;100,00;100,00;100,00;100,00;98,65;100,00;99,80;100,00;100,00;99,06;100,00;100,00;100,00;99,63;100,00;94,69;95,54;97,33;NaN;NaN;NaN;49,08;44,93;75,83;NaN;NaN;NaN;98,08;91,11;100,00;100,00;39,29;30,19;49,30;40,51;35,48;NaN;NaN;26,53;NaN;39,68;31,65;43,55;NaN;99,48;100,00;100,00;99,76;100,00;100,00;70,28;99,36;99,36;98,75;100,00;100,00;100,00;100,00;99,74;NaN;NaN;NaN;29,21;NaN;NaN;NaN;NaN;100,00;94,02;97,94;98,99;61,22;93,36;90,46;97,82;99,83;97,47;99,64;99,33;100,00;100,00;99,70;91,75;98,71;100,00;40,15;98,69;99,61;100,00;100,00;95,27;99,76;99,81;97,20;100,00;100,00;100,00;99,71;99,37;99,66;100,00;99,63;100,00;99,43;99,86;100,00;100,00;100,00;100,00;97,79;100,00;99,55;95,95;98,69;100,00;98,60;100,00;83,57;100,00;99,22;100,00;99,62;97,47;99,61;69,05;99,29;100,00
List_010;46,67;95,09;95,47;99,18;47,88;97,85;99,39;98,78;100,00;100,00;99,72;100,00;100,00;100,00;100,00;98,65;100,00;99,80;100,00;100,00;99,06;100,00;100,00;100,00;99,63;100,00;94,69;96,88;97,33;NaN;NaN;NaN;48,47;44,93;76,47;NaN;NaN;56,25;98,08;91,11;100,00;99,32;39,29;30,19;49,30;40,51;35,48;NaN;NaN;26,53;NaN;39,68;31,65;43,55;NaN;99,48;100,00;100,00;100,00;100,00;100,00;70,50;99,36;99,57;98,75;100,00;100,00;100,00;100,00;99,74;NaN;NaN;NaN;29,21;NaN;NaN;NaN;NaN;100,00;97,09;97,78;98,99;59,69;92,95;84,34;97,82;99,83;97,47;99,64;99,33;100,00;99,56;99,70;91,75;98,71;100,00;40,15;98,69;99,61;100,00;100,00;95,27;99,76;99,81;97,20;100,00;100,00;100,00;99,71;99,37;99,66;100,00;99,63;100,00;99,43;99,72;100,00;100,00;100,00;100,00;97,79;100,00;99,55;95,95;98,69;100,00;98,60;100,00;83,57;100,00;99,22;100,00;99,62;97,47;99,80;69,05;99,29;100,00
